标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
佛山 一线江景住宅 不限购 未来双地铁 环境靓丽,誉江华府,2018,4室2厅3卫,134.8,中层(共31层),10017.0,毛坯,135,广州周边,佛山,江滨路,2018年06月12日,https://guangzhou.anjuke.com/prop/view/A1279545354?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1529383344
云鹤南小区 单边位三房 南向望动物园景 入读水荫名校,云鹤南街小区,1998,3室2厅1卫,86.0,中层(共9层),48255.0,精装修,415,越秀,环市东,云鹤南街,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288423188?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1529383344
逢源路 长寿地铁口 省级西关培正学位 复试楼距4米 看房方便,逢源路小区,1996,2室1厅1卫,50.0,中层(共7层),32000.0,精装修,160,荔湾,西关,逢源路17号,2018年06月11日,https://guangzhou.anjuke.com/prop/view/A1277988759?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1529383344
视频看房乐意居东南向三房精装带主人套房高层望花园,乐意居花苑,2003,3室2厅2卫,98.0,高层(共9层),35714.0,精装修,350,天河,长湴,美景街18号,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286789796?from=filter-saleMetro&spread=commsearch_p&position=14&kwtype=filter&now_time=1529383344
锦绣银湾 南北对流 四房 一线江景 仅售500万,锦绣银湾,2009,4室2厅2卫,154.0,低层(共28层),32467.0,豪华装修,500,番禺,大石,朝阳东路423-425号,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286707212?from=filter-saleMetro&spread=commsearch_p&position=13&kwtype=filter&now_time=1529383344
云裳丽影二期 精装三房 3梯6户 东西向前后都是花园 采光好,云裳丽影,2012,3室2厅1卫,85.4,高层(共18层),46631.0,精装修,398,白云,同和,富和路2-58号,2018年06月10日,https://guangzhou.anjuke.com/prop/view/A1276720479?from=filter-saleMetro&spread=commsearch_p&position=12&kwtype=filter&now_time=1529383344
金桂园 C区少有南向三房放售 双阳台设计 户型方正 业主急售,金桂园,2001,3室2厅2卫,100.0,中层(共15层),42000.0,精装修,420,白云,三元里,解放北路1000号,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288498941?from=filter-saleMetro-salesxq&spread=commsearch_p&position=11&kwtype=filter&now_time=1529383344
锦绣新天地 大四房 全送名 牌家私电器  65万全包所以费用,锦绣新天地,2013,4室2厅2卫,196.0,中层(共25层),16581.0,豪华装修,325,增城,新塘,府前路29号,2018年06月12日,https://guangzhou.anjuke.com/prop/view/A1279088694?from=filter&spread=commsearch_p&position=10&kwtype=filter&now_time=1529383344
兰亭御园 精装两房 一线江景 急售急售 全新装修 带省级学位,兰亭御园,2004,2室1厅1卫,81.8,高层(共30层),52335.0,简单装修,428,海珠,宝岗,南华中路180号,2018年06月10日,https://guangzhou.anjuke.com/prop/view/A1276549632?from=filter-saleMetro-salesxq&spread=commsearch_p&position=9&kwtype=filter&now_time=1529383344
中海誉城北苑 精装三房 北苑唯一一套南向价钱笋到没得说,中海誉城北苑,2014,2室2厅1卫,87.5,中层(共33层),26285.0,精装修,230,黄埔,香雪,永和大道,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287854226?from=filter&spread=commsearch_p&position=8&kwtype=filter&now_time=1529383344
园中园小区  低层大两房  厅出阳台  采光充足  随时可看,园中园小区,1995,2室2厅1卫,65.0,低层(共9层),35384.0,简单装修,230,荔湾,中山八路,周门街118号,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1283438322?from=filter-saleMetro&spread=commsearch_p&position=7&kwtype=filter&now_time=1529383344
优山悦海，南沙华师附小旁 高楼层 刚需户型 价格美丽,优山悦海,2012,3室2厅2卫,119.0,高层(共18层),23943.0,毛坯,285,南沙,明珠湾,商贸南2路,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286773839?from=filter&spread=commsearch_p&position=6&kwtype=filter&now_time=1529383344
美业阁精装两房 总价低 月供少 交通便利 业主急售,美业阁,2003,2室1厅1卫,58.0,高层(共7层),16896.0,精装修,98,增城,新塘,汇太中路,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288240695?from=filter&spread=commsearch_p&position=5&kwtype=filter&now_time=1529383344
天河北 东方之珠 南向顶层复式 华师地铁口 龙口西小学,东方之珠花园,2004,6室3厅4卫,232.0,低层(共27层),63793.0,简单装修,1480,天河,龙口,天河北路715号,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288545165?from=filter-saleMetro&spread=commsearch_p&position=4&kwtype=filter&now_time=1529383344
锦绣新天地 精装2房 交通方便 送家电家具 急转 价格可谈,锦绣新天地,2012,2室1厅1卫,79.0,低层(共18层),23417.0,简单装修,185,增城,新塘,府前路29号,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1283497398?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1529383344
罗冲围 富力半岛 高层 大两房 单价仅仅三万出头 懂得速度,富力半岛花园,2008,2室2厅1卫,79.0,高层(共33层),30379.0,精装修,240,白云,罗冲围,增槎路43号,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1280934432?from=filter-saleMetro&spread=commsearch_p&position=2&kwtype=filter&now_time=1529383344
星汇园 实用3房2厅 户型方正实用 省级学位 随时看房,星汇园,2002,3室2厅2卫,113.0,高层(共30层),71238.0,精装修,805,天河,珠江新城西,华明路,2018年06月01日,https://guangzhou.anjuke.com/prop/view/A1264498227?from=filter-saleMetro&spread=commsearch_p&position=22&kwtype=filter&now_time=1529383344
新上房 星河湾3期悦心园 电梯高层 165方大3房 随时看房,星河湾三期(悦心园),2006,3室2厅2卫,165.6,高层(共18层),36835.0,精装修,610,番禺,星河湾,沿江东路,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287551151?from=filter&spread=commsearch_p&position=21&kwtype=filter&now_time=1529383344
降价30万急售 海印南苑小区中层94方带主套3房 带精装修,海印南苑,2000,3室2厅2卫,94.0,中层(共9层),45744.0,精装修,430,海珠,前进路,海联路,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288473165?from=filter-saleMetro&spread=commsearch_p&position=20&kwtype=filter&now_time=1529383344
名圃花园 （整个小区唯一特价）首付27万有交易 入读公立小学,名圃花园,2008,2室2厅1卫,72.0,高层(共7层),24027.0,精装修,173,天河,东圃,荣圃路祥圃街5号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275893370?from=filter-saleMetro&spread=commsearch_p&position=19&kwtype=filter&now_time=1529383344
广地花园 新上房源 新装修 拎包入住  看房方便钥匙在手,广地花园,2002,2室2厅1卫,76.0,中层(共7层),26315.0,简单装修,200,番禺,星河湾,迎宾大道,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288484973?from=filter-saleMetro&spread=commsearch_p&position=18&kwtype=filter&now_time=1529383344
紫泉翠荔嘉园 豪装四房 房间全南向 稀有户型 拎包入住 笋盘,紫泉翠荔嘉园,2008,4室2厅2卫,128.0,中层(共6层),13671.0,豪华装修,175,从化,太平,广从北路280-282号,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287363699?from=filter-salesxq&spread=commsearch_p&position=17&kwtype=filter&now_time=1529383344
(一楼带花园）汇景新城世家一楼带花园豪华三层复式私家独立电梯,汇景新城世家,2010,7室3厅4卫,437.0,共3层,86956.0,豪华装修,3800,天河,五山,大丰路18号,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1283986224?from=filter-salesxq&spread=commsearch_p&position=48&kwtype=filter&now_time=1529383344
黄埔萝岗 保利爱特城 精装二房二厅 带 25分到天河,越秀保利爱特城,2000,2室2厅1卫,82.0,高层(共32层),20487.0,精装修,168,黄埔,香雪,云埔一路,2018年06月12日,https://guangzhou.anjuke.com/prop/view/A1279998567?from=filter&spread=commsearch_p&position=47&kwtype=filter&now_time=1529383344
雍雅园采光超好，舒适小区，舒心的家，性价比高,雍雅园,2002,3室2厅2卫,95.0,中层(共12层),32631.0,精装修,310,番禺,市桥,光明北路239号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275682032?from=filter-saleMetro&spread=commsearch_p&position=46&kwtype=filter&now_time=1529383344
珠江新城猎德 保利心语大四房 大型居家园林小区 管理好望花园,保利心语花园,2008,4室2厅3卫,180.0,中层(共32层),76666.0,精装修,1380,天河,珠江新城中,金穗路70号,2018年05月25日,https://guangzhou.anjuke.com/prop/view/A1252793862?from=filter-saleMetro-salesxq&spread=commsearch_p&position=45&kwtype=filter&now_time=1529383344
自贸区 滨海隽城 万达商圈 配套完善 金洲 旁 两房随时看,越秀滨海隽城,2014,2室2厅1卫,86.0,高层(共22层),20930.0,简单装修,180,南沙,金洲,环市大道中路,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1274249286?from=filter-saleMetro&spread=commsearch_p&position=44&kwtype=filter&now_time=1529383344
悦时代花园 地铁口 精装三房 厅出阳台 南向望珠江 业主置换,悦时代花园,2013,3室2厅2卫,95.0,中层(共32层),33157.0,精装修,315,黄埔,文冲,大沙地东572-590号,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1280799999?from=filter-saleMetro&spread=commsearch_p&position=43&kwtype=filter&now_time=1529383344
西福蓝湾 全新加推 不限购 准现楼 地铁21号线今年年底通车,西福蓝湾,2017,3室2厅2卫,96.1,中层(共32层),17270.0,精装修,166,增城,朱村,亚星路131号,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1281432015?from=filter&spread=commsearch_p&position=42&kwtype=filter&now_time=1529383344
新塘 惠百氏 精装两房 高层望市政公园 业主甩卖,金泽惠百氏,2012,2室2厅1卫,76.0,高层(共18层),22105.0,精装修,168,增城,新塘,广深大道西180号,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1284099552?from=filter&spread=commsearch_p&position=41&kwtype=filter&now_time=1529383344
广钢新城 紫郡府 精装三房 带省级学位 配套齐全,葛洲坝紫郡府,2018,4室2厅2卫,143.0,低层(共29层),49020.0,豪华装修,701,荔湾,芳村,鹤洞路151号,2018年06月14日,https://guangzhou.anjuke.com/prop/view/A1282631967?from=filter&spread=commsearch_p&position=40&kwtype=filter&now_time=1529383344
仙村一号 不限购 单合同 带重点学位 带装修 地鉄口 配车位,源海仙村一号,2018,3室2厅2卫,100.0,共1层,16000.0,毛坯,160,增城,石滩,仙村大道,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1284358176?from=filter&spread=commsearch_p&position=39&kwtype=filter&now_time=1529383344
越秀东华楼 业主换新房需名额 实用2房 地铁口物业 价格可谈,越秀东华楼,2010,2室2厅1卫,68.0,中层(共8层),21323.0,精装修,145,越秀,东川,市场东街10-22号,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288346607?from=filter-saleMetro&spread=commsearch_p&position=60&kwtype=filter&now_time=1529383344
邮通小区 华景小学 方正户型 少有电梯单间 可租2800元,邮通住宅小区,2000,1室1厅1卫,34.0,高层(共9层),58235.0,精装修,198,天河,天河公园,中山大道西139号,2018年06月11日,https://guangzhou.anjuke.com/prop/view/A1278789192?from=filter&spread=commsearch_p&position=59&kwtype=filter&now_time=1529383344
南沙湾御苑地铁口物业全新3栋看海无遮挡 N加一户型带景观房,南沙湾御苑,2015,4室2厅2卫,139.0,低层(共29层),20503.0,精装修,285,南沙,金洲,进港大道,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288508220?from=filter&spread=commsearch_p&position=58&kwtype=filter&now_time=1529383344
绿庭苑 华阳小学 旺中带静 户型方正 双阳台设计 拎包入住,绿庭苑,1997,1室1厅1卫,46.0,中层(共10层),65217.0,精装修,300,天河,体育中心,天河北路96号,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287893664?from=filter-saleMetro&spread=commsearch_p&position=57&kwtype=filter&now_time=1529383344
东风西学位 房改房使用率高 底层全明两房 使用权70年楼龄新,盘福社区,1999,2室1厅1卫,63.0,低层(共9层),40476.0,简单装修,255,越秀,盘福路,盘福路,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288563354?from=filter-saleMetro&spread=commsearch_p&position=56&kwtype=filter&now_time=1529383344
全景看房 真实存在 英豪花园 一房一厅已改两房 电梯200万,英豪花园,2006,1室1厅1卫,42.7,低层(共28层),46794.0,精装修,200,海珠,南洲,海珠东晓南路与盈丰路交汇处,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1281560436?from=filter-saleMetro&spread=commsearch_p&position=55&kwtype=filter&now_time=1529383344
龙口西 金田花苑 大两房采光好 户型方正 地铁在建 产权清晰,金田花苑,2002,2室2厅2卫,71.0,中层(共9层),57746.0,精装修,410,天河,龙口,天河北路333-560号,2018年06月05日,https://guangzhou.anjuke.com/prop/view/A1269212697?from=filter-saleMetro-salesxq&spread=commsearch_p&position=54&kwtype=filter&now_time=1529383344
北丽园 精装修3室  实用率高,北丽园,1994,3室2厅2卫,110.0,高层(共7层),21636.0,精装修,238,番禺,市桥,北丽园一街,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1280931714?from=filter-saleMetro-salesxq&spread=commsearch_p&position=53&kwtype=filter&now_time=1529383344
新市 汇侨新城 电梯中层两房 厅出阳台 交通便利 随时看房,汇侨新城南区,2000,2室2厅1卫,65.0,中层(共17层),28461.0,简单装修,185,白云,新市,汇港街83号,2018年06月12日,https://guangzhou.anjuke.com/prop/view/A1279733382?from=filter&spread=commsearch_p&position=52&kwtype=filter&now_time=1529383344
天銮 真盘实价 南北对流五房 安静近小区花园 不限购，随约,天銮,2014,5室2厅4卫,264.3,低层(共48层),75671.0,豪华装修,2000,天河,珠江新城中,临江大道59号,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286539884?from=filter&spread=commsearch_p&position=51&kwtype=filter&now_time=1529383344
禺华园 精装3房 格局方正 省级学位,禺华园,2000,3室2厅2卫,110.1,高层(共7层),24432.0,精装修,269,番禺,市桥,光明北路,2018年06月11日,https://guangzhou.anjuke.com/prop/view/A1278167103?from=filter-saleMetro-salesxq&spread=commsearch_p&position=50&kwtype=filter&now_time=1529383344
颐景华苑 南北对流 大三房 采光通风好 近地铁 配套成熟,合生颐景华苑,2009,3室2厅2卫,118.0,低层(共20层),41949.0,简单装修,495,海珠,南洲,东晓南路,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288332279?from=filter-saleMetro&spread=commsearch_p&position=49&kwtype=filter&now_time=1529383344
南洲花苑 86方精装大两房可改三房 带南武学位,南洲花苑,1998,2室2厅1卫,86.7,中层(共9层),26528.0,精装修,230,海珠,南洲,南洲北路,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1283957991?from=filter-saleMetro-salesxq&spread=commsearch_p&position=38&kwtype=filter&now_time=1529383344
美园SOHO 2号线江南西站 精装复式公寓 赠送家私电器,晓港湾,2016,1室1厅1卫,17.0,共3层,34117.0,精装修,58,海珠,东晓南,文华街64号,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287448776?from=filter-saleMetro&spread=commsearch_p&position=37&kwtype=filter&now_time=1529383344
尚东峰景第二期终于有房子放盘了 南北向望花园 仅售430万,尚东峰景,2011,2室2厅1卫,94.3,低层(共32层),45608.0,精装修,430,海珠,南洲,海珠区南洲北路峰景街,2018年06月05日,https://guangzhou.anjuke.com/prop/view/A1269318996?from=filter-saleMetro&spread=commsearch_p&position=36&kwtype=filter&now_time=1529383344
盈翠苑，給生活帶來更多精彩，綠色低碳,盈翠苑,2003,2室2厅1卫,78.0,高层(共6层),25000.0,精装修,195,番禺,市桥,光明北路456号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275649992?from=filter-saleMetro-salesxq&spread=commsearch_p&position=35&kwtype=filter&now_time=1529383344
广钢新城 葛洲坝紫郡府 精装南向大4房带省级学位 6条地铁,葛洲坝紫郡府,2016,4室2厅2卫,143.0,中层(共29层),46713.0,精装修,668,荔湾,芳村,鹤洞路151号,2018年06月11日,https://guangzhou.anjuke.com/prop/view/A1277839602?from=filter&spread=commsearch_p&position=34&kwtype=filter&now_time=1529383344
华筑翡翠湾 高品质小区 震撼一线江景 尽收眼底 来电即拥有,华筑翡翠湾,2017,4室2厅2卫,104.0,中层(共32层),32211.0,豪华装修,335,番禺,大石,大石街沿江东路22号,2018年05月31日,https://guangzhou.anjuke.com/prop/view/A1262372751?from=filter&spread=commsearch_p&position=32&kwtype=filter&now_time=1529383344
祥景花园 楼梯低层刚需两房 总价超低 业主急售 看房有钥匙,祥景花园,1997,2室1厅1卫,56.0,低层(共9层),24107.0,简单装修,135,白云,黄石,黄石东路,2018年06月03日,https://guangzhou.anjuke.com/prop/view/A1267045677?from=filter-saleMetro-salesxq&spread=commsearch_p&position=31&kwtype=filter&now_time=1529383344
公安小区 楼.王单位出炉 南北双阳台 高层全景观 业主急卖,广东省公安厅黄石小区,2003,3室2厅2卫,101.0,高层(共9层),35643.0,精装修,360,白云,黄石,黄石东路299号,2018年06月06日,https://guangzhou.anjuke.com/prop/view/A1271291796?from=filter&spread=commsearch_p&position=30&kwtype=filter&now_time=1529383344
全景看房 真实存在 英豪花园 带南武小学 正规电梯一房一厅,英豪花园,2006,1室1厅1卫,42.7,中层(共28层),46326.0,精装修,198,海珠,南洲,海珠东晓南路与盈丰路交汇处,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1281538206?from=filter-saleMetro&spread=commsearch_p&position=29&kwtype=filter&now_time=1529383344
万华花园 中层精装三房 对花园 免装修 产权清晰  随时看房,万华花园,2003,3室2厅1卫,84.0,高层(共8层),36904.0,精装修,310,海珠,南洲,盈丰路,2018年06月18日,https://guangzhou.anjuke.com/prop/view/A1287634059?from=filter-saleMetro&spread=commsearch_p&position=27&kwtype=filter&now_time=1529383344
精装三房 4小学位 装修房毛坯价 有图有真相,公园前路9号小区,2002,3室2厅2卫,129.0,高层(共7层),12403.0,精装修,160,花都,旧区,公园前路9号,2018年05月12日,https://guangzhou.anjuke.com/prop/view/A1226590785?from=filter&spread=commsearch_p&position=26&kwtype=filter&now_time=1529383344
天马河壹号五期 精装三房 全新装修未入住 笋于市场价,天马河壹号,2012,3室2厅2卫,120.2,中层(共18层),20128.0,精装修,242,花都,花都西,荔红南路1号,2018年05月07日,https://guangzhou.anjuke.com/prop/view/A1217154699?from=filter&spread=commsearch_p&position=25&kwtype=filter&now_time=1529383344
电梯，3房，35000单价，处处有窗，南北对流,流花路小区,1995,3室2厅1卫,77.0,高层(共8层),35064.0,简单装修,270,荔湾,环市西路,荔湾荔湾区流花路,2018年06月19日,https://guangzhou.anjuke.com/prop/view/A1288493370?from=filter-saleMetro-salesxq&spread=commsearch_p&position=24&kwtype=filter&now_time=1529383344
