标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
{远大优选}中海玺园精装三房动静分离南北通透户型好天俊悦府旁	中海玺园	2012	3室2厅1卫	87	低层(共18层)	18275	精装修	159	广陵	曲江公园	观潮路	2018年6月22日	https://yangzhou.anjuke.com/prop/view/A1292792133?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1531915909
京华城荟景苑137平米豪装三室，南北通透楼层佳不沿街西区双校	京华荟景苑	2016	3室2厅2卫	137	高层(共18层)	21021	豪华装修	288	邗江	京华城	京华城路168号	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1326285381?from=filter&spread=commsearch_p&position=25&kwtype=filter&now_time=1531915909
运河壹号公馆 紧邻徐凝门桥 靠古运河河畔 何园  绝 版联排	运河壹号公馆(商住楼)	2012	4室3厅3卫	305	共3层	18885	毛坯	576	广陵	文昌阁	徐凝门路1号	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1326626526?from=filter&spread=commsearch_p&position=24&kwtype=filter&now_time=1531915909
中海运河丹堤 88平小三房精装 满2 年 临金地依云	中海运河丹堤	2014	3室2厅1卫	88	高层(共18层)	12727	精装修	112	邗江	扬州大学城	周庄河支路	2018年7月17日	https://yangzhou.anjuke.com/prop/view/A1327719666?from=filter&spread=commsearch_p&position=23&kwtype=filter&now_time=1531915909
急售西郡188精装两房紧邻天俊华府天和国际水晶城设施齐全拎包	西郡188花园	2008	2室2厅1卫	75	低层(共9层)	18533	精装修	139	邗江	金水桥	文汇西路	2018年6月17日	https://yangzhou.anjuke.com/prop/view/A1286687523?from=filter&spread=commsearch_p&position=22&kwtype=filter&now_time=1531915909
锦苑名人坊精装2室南北通透送车库3/5楼品牌家电家具靠大润发	中信泰富锦苑世家	2009	2室2厅2卫	97	中层(共6层)	18350	精装修	178	邗江	京华城	锦绣路99号	2018年6月13日	https://yangzhou.anjuke.com/prop/view/A1281097623?from=filter&spread=commsearch_p&position=21&kwtype=filter&now_time=1531915909
欧尚宝龙广场旁光明铂悦华府 毛坯三房 25楼 包更名 好楼层	光明铂悦华府	2015	3室2厅1卫	103	高层(共33层)	12330	毛坯	127	邗江	汽车西站	"维扬路,近兴扬路"	2018年6月14日	https://yangzhou.anjuke.com/prop/view/A1282534563?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1531915909
《诚信服务》三房朝南 银行 医院 超市 美食街 生活交通便利	杨庄街坊	2005	3室2厅1卫	118	高层(共6层)	10152	简单装修	119.8	维扬	瘦西湖	秋雨东路14号	2018年7月15日	https://yangzhou.anjuke.com/prop/view/A1325057538?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1531915909
京华城水印西堤2室婚装85平147.5万楼层好阳光充裕拎包住	首开水印西堤	2013	2室2厅1卫	85	中层(共16层)	17352	精装修	147.5	邗江	汽车西站	博物馆路	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1326422208?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1531915909
卓杰 南北通透三室两厅两卫动静分离紧邻怡新花园广陵世家无税	明发江湾城	2014	3室2厅2卫	118	低层(共11层)	12610	精装修	148.8	广陵	曲江公园	板桥路88号	2018年7月18日	https://yangzhou.anjuke.com/prop/view/A1328290473?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1531915909
《钰堂品质》新城吾悦+联发君悦华府+毛坯3房+南北通透+有钥	联发君悦华府	2013	3室2厅1卫	110	低层(共18层)	14363	毛坯	158	广陵	文昌阁	五台山路	2018年7月6日	https://yangzhou.anjuke.com/prop/view/A1312013001?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1531915909
皇都漫城2/2/1 ，精装，车库18 平，7 楼共10 层	颐景苑皇都漫城	2013	2室2厅1卫	104	高层(共10层)	14038	精装修	146	广陵	文昌阁	扬霍路	2018年7月7日	https://yangzhou.anjuke.com/prop/view/A1313305986?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1531915909
{大头代理}东方名城 电梯精装通透2室 带车库 明发商业广场	东方名城	2012	2室2厅1卫	89	高层(共11层)	13820	精装修	123	广陵	广陵产业园	滨河路	2018年7月7日	https://yangzhou.anjuke.com/prop/view/A1314097491?from=filter&spread=commsearch_p&position=14&kwtype=filter&now_time=1531915909
东花园园东新村，东花园路16号，东方丽景南，东花园河北边，	园东新村	2000	3室1厅1卫	79	中层(共6层)	9873	简单装修	78	广陵	文昌阁	东花园路16号	2018年7月13日	https://yangzhou.anjuke.com/prop/view/A1321387761?from=filter&spread=commsearch_p&position=13&kwtype=filter&now_time=1531915909
卓杰京华城西万江红公馆别墅下叠带院子双车库邻龙湖美墅	万江红公馆	2018	3室2厅2卫	250	共1层	6320	毛坯	158	仪征市	仪征市	"安民路,近华联路"	2018年6月26日	https://yangzhou.anjuke.com/prop/view/A1298616141?from=filter&spread=commsearch_p&position=12&kwtype=filter&now_time=1531915909
售橡树湾空中别野56楼2电梯洋房附送露台90平邻蓝湾国际	橡树湾	2013	6室3厅3卫	223	高层(共6层)	15695	毛坯	350	邗江	汽车西站	兴城西路	2018年5月31日	https://yangzhou.anjuke.com/prop/view/A1262550468?from=filter&spread=commsearch_p&position=11&kwtype=filter&now_time=1531915909
玥珑湖 旅游度假养生别墅 龙湖美墅旁 红公馆 赠送80平院子	万江红公馆	2018	5室2厅3卫	215	共5层	5813	毛坯	125	仪征市	仪征市	"安民路,近华联路"	2018年6月1日	https://yangzhou.anjuke.com/prop/view/A1263910053?from=filter&spread=commsearch_p&position=10&kwtype=filter&now_time=1531915909
京华城万豪西花苑毛坯大三房不沿街中间楼层带电梯钥匙送车库	万豪西花苑	2012	3室2厅2卫	129	高层(共11层)	17054	毛坯	220	邗江	京华城	京华城路328号	2018年6月24日	https://yangzhou.anjuke.com/prop/view/A1295209488?from=filter&spread=commsearch_p&position=9&kwtype=filter&now_time=1531915909
万达 雅居乐 鸿大花园 四楼楼中楼 实用面积超大 精装婚房	鸿大花园	2013	4室2厅1卫	120	共4层	15833	精装修	190	邗江	汽车西站	江阳中路509号	2018年6月26日	https://yangzhou.anjuke.com/prop/view/A1298753643?from=filter&spread=commsearch_p&position=8&kwtype=filter&now_time=1531915909
新能源月亮圆三楼三房+京华城+大润发+栖月苑+美琪+万鸿	月亮园	2010	3室2厅2卫	153	中层(共6层)	12745	精装修	195	邗江	大润发邗江店	望月路459号	2018年7月9日	https://yangzhou.anjuke.com/prop/view/A1316272233?from=filter&spread=commsearch_p&position=7&kwtype=filter&now_time=1531915909
扬州天下二期毛坯电梯房 采光极好 南北通透 梅岭小学 海德	扬州天下西华苑	2005	2室2厅1卫	88	中层(共8层)	17727	毛坯	156	邗江	汽车西站	邗江北路499号	2018年7月9日	https://yangzhou.anjuke.com/prop/view/A1316542998?from=filter&spread=commsearch_p&position=6&kwtype=filter&now_time=1531915909
急售！万马滨河城 电梯中装复式楼 带车库 近运河一号公馆	万马滨河城	2007	3室2厅2卫	146	高层(共11层)	10273	精装修	150	广陵	东花园路	东花园路111号	2018年7月10日	https://yangzhou.anjuke.com/prop/view/A1318124433?from=filter&spread=commsearch_p&position=5&kwtype=filter&now_time=1531915909
新城花园兰香苑五楼精装拎包入住飞机户型独立车库靠近宝带梅香苑	新城花园兰香苑	2000	3室2厅1卫	100	高层(共6层)	11480	精装修	114.8	邗江	汽车西站	维扬路	2018年7月11日	https://yangzhou.anjuke.com/prop/view/A1319337138?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1531915909
{远大优选}中海九玺三房毛坯飞机户型送车位公园一号中海玺园旁	中海九玺	2012	3室2厅1卫	95	低层(共18层)	17684	毛坯	168	广陵	曲江公园	"观潮路,近二里桥路"	2018年7月17日	https://yangzhou.anjuke.com/prop/view/A1327054206?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1531915909
（一剪梅优选）运河佳园+三室两厅+多层三楼+南北通透+随时看	名城运河佳园	2008	3室2厅2卫	108	共5层	13518	毛坯	146	广陵	曲江公园	五里庙路1号	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1326339966?from=filter&spread=commsearch_p&position=2&kwtype=filter&now_time=1531915909
{卓杰}东方银座+朝南精装修+两室+可商贷+临欧尚宝龙	东方银座	2008	2室1厅1卫	61	高层(共15层)	11114	精装修	67.8	开发	欧尚	江阳中路	2018年7月2日	https://yangzhou.anjuke.com/prop/view/A1306373367?from=filter&spread=commsearch_p&position=43&kwtype=filter&now_time=1531915909
急售天俊华府 精装三房两卫 看房方便 紧邻天和国际	天俊华府	2011	3室2厅2卫	116	高层(共18层)	16206	精装修	188	邗江	大润发邗江店	兴城西路306号	2018年7月10日	https://yangzhou.anjuke.com/prop/view/A1317659772?from=filter&spread=commsearch_p&position=42&kwtype=filter&now_time=1531915909
京华城怡景苑毛坯价欧式豪装南北通透动静分离4房西育才梅中	京华怡景苑	2006	4室2厅3卫	203	高层(共15层)	16551	豪华装修	336	邗江	京华城	京华城路99号	2018年7月13日	https://yangzhou.anjuke.com/prop/view/A1322054022?from=filter&spread=commsearch_p&position=41&kwtype=filter&now_time=1531915909
一户抵二户星都芳庭精装复式楼出售	星都芳庭	2008	3室2厅2卫	115	高层(共11层)	14086	精装修	162	邗江	汽车西站	邢江中路128号	2018年5月25日	https://yangzhou.anjuke.com/prop/view/A1253554149?from=filter&spread=commsearch_p&position=40&kwtype=filter&now_time=1531915909
京华城三期荟景苑高装婚房未住 中间楼层采光佳 动静分离户型	京华荟景苑	2014	3室2厅1卫	142	中层(共17层)	17887	精装修	254	邗江	京华城	京华城路168号	2018年5月30日	https://yangzhou.anjuke.com/prop/view/A1260493914?from=filter&spread=commsearch_p&position=39&kwtype=filter&now_time=1531915909
京华城 西郡188 花园洋房 3室精装 户型通透	西郡188花园	2013	3室2厅2卫	134	共5层	16865	精装修	226	邗江	金水桥	文汇西路	2018年6月2日	https://yangzhou.anjuke.com/prop/view/A1265740284?from=filter&spread=commsearch_p&position=38&kwtype=filter&now_time=1531915909
西区大润发旁 凯莱巴黎春天复试4房精装 露台车库 靠美琪凯莱	凯莱巴黎春天	2009	4室2厅2卫	128	高层(共6层)	12406	精装修	158.8	邗江	大润发邗江店	望月路139号	2018年6月26日	https://yangzhou.anjuke.com/prop/view/A1298486397?from=filter&spread=commsearch_p&position=37&kwtype=filter&now_time=1531915909
万达旁 鸿大花园+精装大3房+南北通透+送汽车库	鸿大花园	2010	3室2厅2卫	128	共1层	13265	精装修	169.8	邗江	汽车西站	江阳中路509号	2018年7月18日	https://yangzhou.anjuke.com/prop/view/A1328380284?from=filter&spread=commsearch_p&position=60&kwtype=filter&now_time=1531915909
阳光地带精装 两室两厅 南北通透 送家电 送车库 靠智谷华府	阳光地带	2009	2室2厅1卫	88	中层(共6层)	11931	精装修	105	邗江	扬州大学城	银河大道	2018年6月23日	https://yangzhou.anjuke.com/prop/view/A1294097772?from=filter&spread=commsearch_p&position=59&kwtype=filter&now_time=1531915909
晶福园大三房景观房 动静分离南北通透 位置好楼层好 随时看	晶福园	2010	3室2厅1卫	123.5	中层(共18层)	10186	毛坯	125.8	邗江	扬州大学城	九龙湖路98号	2018年7月7日	https://yangzhou.anjuke.com/prop/view/A1313721687?from=filter&spread=commsearch_p&position=58&kwtype=filter&now_time=1531915909
西郡188花园洋房婚装未住车库大 靠近天俊华府天和国际京华城	西郡188花园	2009	3室2厅2卫	134	中层(共6层)	16791	豪华装修	225	邗江	金水桥	文汇西路	2018年7月4日	https://yangzhou.anjuke.com/prop/view/A1309097712?from=filter&spread=commsearch_p&position=57&kwtype=filter&now_time=1531915909
绿地+楼层和面积可选+开发商精装+南北通透+没有营业税	绿地中央学府	2013	3室2厅1卫	100	中层(共21层)	12500	精装修	125	广陵	文昌阁	"万福东路,近京杭北路"	2018年7月4日	https://yangzhou.anjuke.com/prop/view/A1309051992?from=filter&spread=commsearch_p&position=56&kwtype=filter&now_time=1531915909
蓝山庄园  一楼  86平米 南北通透户型 中装115万	蓝山庄园	2010	2室2厅1卫	86	共5层	13372	精装修	115	邗江	扬州大学城	润扬路9号	2018年7月9日	https://yangzhou.anjuke.com/prop/view/A1316661042?from=filter&spread=commsearch_p&position=55&kwtype=filter&now_time=1531915909
{远大优选}东关东校区文昌花园精装两房车库20平无税采光佳	文昌花园	2008	2室2厅1卫	60	共5层	14166	精装修	85	广陵	曲江公园	文昌中路18号	2018年6月23日	https://yangzhou.anjuke.com/prop/view/A1294547079?from=filter&spread=commsearch_p&position=54&kwtype=filter&now_time=1531915909
翠月嘉南苑3室2厅1卫，周边有学校菜场，因有尽有看中赶快下手	翠月嘉南苑	2012	3室2厅1卫	97	高层(共6层)	12577	精装修	122	广陵	曲江公园	京杭南路99号	2018年7月3日	https://yangzhou.anjuke.com/prop/view/A1308130689?from=filter&spread=commsearch_p&position=53&kwtype=filter&now_time=1531915909
扬州老城区丁家湾私家园林出售近何园 文昌阁	丁家湾	1980	5室2厅2卫	260	共1层	18846	精装修	490	广陵	文昌阁	徐凝门大街161号	2018年7月6日	https://yangzhou.anjuke.com/prop/view/A1312126644?from=filter&spread=commsearch_p&position=52&kwtype=filter&now_time=1531915909
华纺蜀岗锦宸 毛坯三房送车库 南北通透采光好 房东诚售	华纺蜀冈锦宸	2000	2室2厅1卫	91	高层(共10层)	13736	毛坯	125	维扬	瘦西湖	司徒庙路	2018年7月4日	https://yangzhou.anjuke.com/prop/view/A1309669824?from=filter&spread=commsearch_p&position=51&kwtype=filter&now_time=1531915909
古运南苑102十50楼中楼，精装，155万，大车库，随时看房	古运南苑	2009	5室3厅2卫	152	共5层	10197	精装修	155	广陵	文昌阁	观潮路1615号	2018年7月4日	https://yangzhou.anjuke.com/prop/view/A1308923544?from=filter&spread=commsearch_p&position=50&kwtype=filter&now_time=1531915909
忍痛出售 依云城邦上叠 南北通透 送大露台 好房 随时看房	依云城邦	2012	5室2厅2卫	160	共4层	11875	毛坯	190	邗江	扬州大学城	依人路	2018年7月12日	https://yangzhou.anjuke.com/prop/view/A1320109509?from=filter&spread=commsearch_p&position=49&kwtype=filter&now_time=1531915909
钰堂品质联发君悦华府位于吾悦广场南边交通便利价格便宜	联发君悦华府(商住楼)	2015	4室2厅2卫	139	高层(共11层)	16546	毛坯	230	广陵	文昌阁	五台山路	2018年7月12日	https://yangzhou.anjuke.com/prop/view/A1321210524?from=filter&spread=commsearch_p&position=48&kwtype=filter&now_time=1531915909
《诚信服务》豪华装修 未住人 可做婚房 校区房 生活交通便利	四季园春竹苑	1992	2室2厅1卫	74	共5层	14594	豪华装修	108	邗江	汽车西站	维扬路	2018年7月13日	https://yangzhou.anjuke.com/prop/view/A1322272794?from=filter&spread=commsearch_p&position=47&kwtype=filter&now_time=1531915909
