标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
扬州西郊纯法式电梯别墅  环境舒适  干挂工艺  万科物业,龙湖美墅,2015,5室3厅5卫,381.0,共4层,8346.0,毛坯,318,仪征市,仪征市,华联路,2018年05月17日,https://yangzhou.anjuke.com/prop/view/A1235304237?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1532228469
振兴双语+骏和玲珑湾精美两房诚心出售+毗邻顺达广场+淮左,骏和玲珑湾,2013,2室2厅1卫,84.0,中层(共18层),15714.0,简单装修,132,邗江,邗江工业园,邗江中路140号,2018年07月18日,https://yangzhou.anjuke.com/prop/view/A1329307140?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1532228469
金域蓝湾 151平豪装329.8万 恒温恒氧 买的就是享受,金域蓝湾,2010,4室2厅2卫,151.0,低层(共11层),21854.0,精装修,330,广陵,汇金广场,邗江路138号,2018年07月20日,https://yangzhou.anjuke.com/prop/view/A1332061626?from=filter&spread=commsearch_p&position=2&kwtype=filter&now_time=1532228469
文昌北苑2室2厅精装电梯房 朝南文昌花园骏和天城旁,文昌北苑,2005,2室2厅1卫,78.0,高层(共7层),8076.0,精装修,63,广陵,曲江公园,安康路43号,2018年06月18日,https://yangzhou.anjuke.com/prop/view/A1287217353?from=filter&spread=commsearch_p&position=29&kwtype=filter&now_time=1532228469
育才本部南门街两室精装一楼带院子25平出口好无孩上学有车库,南门新村,1998,2室1厅1卫,54.0,低层(共6层),30555.0,精装修,165,广陵,荷花池,南通西路81号,2018年05月20日,https://yangzhou.anjuke.com/prop/view/A1241592762?from=filter&spread=commsearch_p&position=28&kwtype=filter&now_time=1532228469
梅岭学校翠岗紫薇苑84平2室110万南北厅靠锦绣花园香榭,翠岗新村紫薇苑,2005,2室2厅1卫,84.0,低层(共6层),13095.0,简单装修,110,邗江,汽车西站,新城河路,2018年06月21日,https://yangzhou.anjuke.com/prop/view/A1292195505?from=filter&spread=commsearch_p&position=27&kwtype=filter&now_time=1532228469
一户抵二户星都芳庭精装复式楼出售,星都芳庭,2008,3室2厅2卫,115.0,高层(共11层),14086.0,精装修,162,邗江,汽车西站,邢江中路128号,2018年05月25日,https://yangzhou.anjuke.com/prop/view/A1253554149?from=filter&spread=commsearch_p&position=26&kwtype=filter&now_time=1532228469
西湖印象华府精装修厅通阳台税急售急售急,西湖印象华府,2013,3室2厅2卫,125.0,低层(共10层),12960.0,精装修,162,维扬,城北乡,西湖路,2018年07月16日,https://yangzhou.anjuke.com/prop/view/A1325977896?from=filter&spread=commsearch_p&position=25&kwtype=filter&now_time=1532228469
阳光地带精装 两室两厅 南北通透 送家电 送车库 靠智谷华府,阳光地带,2009,2室2厅1卫,88.0,中层(共6层),11931.0,精装修,105,邗江,扬州大学城,银河大道,2018年06月23日,https://yangzhou.anjuke.com/prop/view/A1294097772?from=filter&spread=commsearch_p&position=24&kwtype=filter&now_time=1532228469
售橡树湾空中别野56楼2电梯洋房附送露台90平邻蓝湾国际,橡树湾,2013,6室3厅3卫,223.0,高层(共6层),15695.0,毛坯,350,邗江,汽车西站,兴城西路,2018年05月31日,https://yangzhou.anjuke.com/prop/view/A1262550468?from=filter&spread=commsearch_p&position=23&kwtype=filter&now_time=1532228469
{远大优选}东关东校区文昌花园精装两房车库20平无税采光佳,文昌花园,2008,2室2厅1卫,60.0,共5层,14166.0,精装修,85,广陵,曲江公园,文昌中路18号,2018年06月23日,https://yangzhou.anjuke.com/prop/view/A1294547079?from=filter&spread=commsearch_p&position=22&kwtype=filter&now_time=1532228469
卓杰 南北通透三室两厅两卫动静分离紧邻怡新花园广陵世家无税,明发江湾城,2014,3室2厅2卫,118.0,低层(共11层),12610.0,精装修,148.8,广陵,曲江公园,板桥路88号,2018年07月18日,https://yangzhou.anjuke.com/prop/view/A1328290473?from=filter&spread=commsearch_p&position=21&kwtype=filter&now_time=1532228469
京华城万豪西花苑毛坯大三房不沿街中间楼层带电梯钥匙送车库,万豪西花苑,2012,3室2厅2卫,129.0,高层(共11层),17054.0,毛坯,220,邗江,京华城,京华城路328号,2018年06月24日,https://yangzhou.anjuke.com/prop/view/A1295209488?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1532228469
{卓杰}京华城观唐别院首付20万电梯花园洋房靠文昌西路,观唐别院,2015,4室2厅2卫,125.0,低层(共8层),6944.0,毛坯,86.8,仪征市,仪征市,"扬冶路,近新盘公路",2018年06月16日,https://yangzhou.anjuke.com/prop/view/A1284730131?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1532228469
急售！万马滨河城 电梯中装复式楼 带车库 近运河一号公馆,万马滨河城,2007,3室2厅2卫,146.0,高层(共11层),10273.0,精装修,150,广陵,东花园路,东花园路111号,2018年07月10日,https://yangzhou.anjuke.com/prop/view/A1318124433?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1532228469
{大头代理}东方名城 电梯精装通透2室 带车库 明发商业广场,东方名城,2012,2室2厅1卫,91.0,高层(共11层),13516.0,精装修,123,广陵,广陵产业园,滨河路,2018年07月07日,https://yangzhou.anjuke.com/prop/view/A1314097491?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1532228469
