标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
联谊花园高装2/2/1南区大润发杉湾花园连运车库20平3/6,宜福苑,2010,2室2厅1卫,85,中层(共6层),12941,简单装修,110,广陵,文昌阁,联谊路,2018年06月15日,https://yangzhou.anjuke.com/prop/view/A1283274831?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1529160636
京华城商圈集元居联排别墅238平方一口价房源198万紧邻暖山,集元居,2015,4室3厅4卫,238,共3层,8319,毛坯,198,仪征市,仪征市,"栖凤街,近人民路",2018年05月20日,https://yangzhou.anjuke.com/prop/view/A1241863716?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1529160636
新城花园 精装3居 南北通透 紧邻万达三盛,新城花园兰香苑,2008,3室2厅1卫,82,高层(共6层),10951,精装修,89.8,邗江,汽车西站,维扬路,2018年06月06日,https://yangzhou.anjuke.com/prop/view/A1271470926?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1529160636
碧水栖庭毛坯三房随时看靠万科四季金辉香榭里蜀岗锦宸,碧水栖庭,2011,3室2厅1卫,110,低层(共11层),14090,毛坯,155,维扬,瘦西湖,邗江北路888号,2018年06月09日,https://yangzhou.anjuke.com/prop/view/A1275718296?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1529160636
京华城 西郡188 花园洋房 3室精装 户型通透,西郡188花园,2013,3室2厅2卫,134,共5层,16865,精装修,226,邗江,金水桥,文汇西路,2018年06月02日,https://yangzhou.anjuke.com/prop/view/A1265740284?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1529160636
蓝湾国际 水晶城 京华城旁 橡树湾毛坯复式3层 不沿街随时看,橡树湾,2013,6室3厅2卫,223,高层(共6层),16502,毛坯,368,邗江,汽车西站,兴城西路,2018年06月08日,https://yangzhou.anjuke.com/prop/view/A1273435644?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1529160636
京华城怡景苑下叠别墅 豪华装修基本未住!营业税没有!,京华怡景苑,2016,4室2厅4卫,147,共3层,26938,豪华装修,396,邗江,京华城,京华城路99号,2018年06月08日,https://yangzhou.anjuke.com/prop/view/A1274302884?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1529160636
杉湾花园东区，小三房,杉湾花园(东区),2010,3室2厅1卫,92,共5层,12630,毛坯,116.2,广陵,文昌阁,杉湾路,2018年06月08日,https://yangzhou.anjuke.com/prop/view/A1274059074?from=filter&spread=commsearch_p&position=14&kwtype=filter&now_time=1529160636
扬州华侨城 恒通康城 碧玉园花园2室2厅1卫免费看房享团购价,恒通康城,2018,2室2厅1卫,87,共1层,6321,毛坯,55,邗江,汽车西站,朝阳路,2018年06月10日,https://yangzhou.anjuke.com/prop/view/A1276974039?from=filter&spread=commsearch_p&position=13&kwtype=filter&now_time=1529160636
海德公园1楼带院子 动静分离户型 无个税 小区中心 有车库,海德庄园,2012,3室2厅2卫,136,低层(共6层),13676,简单装修,186,邗江,大润发邗江店,邗江北路,2018年06月11日,https://yangzhou.anjuke.com/prop/view/A1278638184?from=filter&spread=commsearch_p&position=12&kwtype=filter&now_time=1529160636
大学城星汇名邸毛坯2房送车库南北通透，智谷华府，星河蓝湾，,星汇名邸,2012,2室2厅1卫,89,高层(共11层),10876,毛坯,96.8,开发,欧尚,宏溪路,2018年06月13日,https://yangzhou.anjuke.com/prop/view/A1280754354?from=filter&spread=commsearch_p&position=11&kwtype=filter&now_time=1529160636
