标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
居易置业御园别墅豪华装修1至3层 紧邻扬州职大蜀岗风景区	御园	2013	5室3厅4卫	320	共3层	30937	豪华装修	990	邗江	现代广场	润扬北路18号	2018年9月15日	https://yangzhou.anjuke.com/prop/view/A1414860100?from=filter&spread=commsearch_p&position=952&kwtype=filter&now_time=1538808722
苏农一村育才本部学 区房一楼精装修带50平大院子紧靠苏北医院	苏农一村	2003	3室1厅1卫	90	共3层	30888	精装修	278	广陵	文昌阁	文汇东路1号	2018年9月30日	https://yangzhou.anjuke.com/prop/view/A1437301674?from=filter&spread=commsearch_p&position=2787&kwtype=filter&now_time=1538809110
育才本部南门新村 有前后院子40平米 紧邻学校 出口好阳光佳	南门新村	1995	2室1厅1卫	51	共3层	29411	简单装修	150	广陵	荷花池	南通西路81号	2018年9月26日	https://yangzhou.anjuke.com/prop/view/A1430570445?from=filter&spread=commsearch_p&position=1805&kwtype=filter&now_time=1538808908
梅岭双学 住宅门面房 年租金4.5万带租金出售52平149万	梅岭新村	2000	1室1厅1卫	52	共2层	28653	简单装修	149	维扬	城北乡	史可法西路	2018年9月27日	https://yangzhou.anjuke.com/prop/view/A1433235735?from=filter&spread=commsearch_p&position=2122&kwtype=filter&now_time=1538808971
京华城怡景苑豪华装修联排别墅 地暖车位院子 双校区华鼎万科	京华怡景苑(别墅)	2010	5室2厅3卫	200	共3层	28400	豪华装修	568	邗江	汽车西站	京华城路99号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1415525433?from=filter&spread=commsearch_p&position=920&kwtype=filter&now_time=1538808722
梅岭本部双校区房高档小区莱茵苑精装两室无税房型正南北通透	莱茵苑	2008	2室1厅1卫	106	低层(共6层)	27830	精装修	295	广陵	东花园路	史可法东路	2018年9月19日	https://yangzhou.anjuke.com/prop/view/A1421489794?from=filter&spread=commsearch_p&position=913&kwtype=filter&now_time=1538808722
梅小梅中本部 新房  冶春别苑 2楼带电梯 虹桥坊 含汽车位	冶春别院	2014	3室2厅2卫	117	共5层	27777	毛坯	325	邗江	汽车西站	锦旺巷42号	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401077735?from=filter&spread=commsearch_p&position=595&kwtype=filter&now_time=1538808648
梅小梅中本部 新房  冶春别苑 2楼带电梯 虹桥坊 含汽车位	冶春别院	2014	3室2厅2卫	117	共5层	27777	毛坯	325	邗江	汽车西站	锦旺巷42号	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401077735?from=filter&spread=commsearch_p&position=635&kwtype=filter&now_time=1538808661
梅小梅中本部 新房  冶春别苑 2楼带电梯 虹桥坊 含汽车位	冶春别院	2014	3室2厅2卫	117	共5层	27777	毛坯	325	邗江	汽车西站	锦旺巷42号	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401077735?from=filter&spread=commsearch_p&position=699&kwtype=filter&now_time=1538808674
梅小梅中本部 新房  冶春别苑 2楼带电梯 虹桥坊 含汽车位	冶春别院	2014	3室2厅2卫	117	共5层	27777	毛坯	325	邗江	汽车西站	锦旺巷42号	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401077735?from=filter&spread=commsearch_p&position=2040&kwtype=filter&now_time=1538808946
梅小梅中本部 新房  冶春别苑 2楼带电梯 虹桥坊 含汽车位	冶春别院	2014	3室2厅2卫	117	共5层	27777	毛坯	325	邗江	汽车西站	锦旺巷42号	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401077735?from=filter&spread=commsearch_p&position=2041&kwtype=filter&now_time=1538808958
梅中梅小 莱茵苑 南苑 精装修未住 好贷款 靠梅岭佳园 沁园	莱茵小镇	2000	3室1厅1卫	98	共1层	27122	精装修	265.8	广陵	文昌阁	盐阜东路	2018年9月22日	https://yangzhou.anjuke.com/prop/view/A1426256834?from=filter&spread=commsearch_p&position=2863&kwtype=filter&now_time=1538809123
正规小区，育才本部教育，嘉荷苑，精致2房，好楼层，提包入住。	中江嘉荷苑	2006	2室1厅1卫	60	共5层	26000	精装修	156	广陵	荷花池	江阳中路33号	2018年8月4日	https://yangzhou.anjuke.com/prop/view/A1351642052?from=filter&spread=commsearch_p&position=1955&kwtype=filter&now_time=1538808934
老城区四合院 大七架毛坯 出口好 好停汽车紧靠大运河文昌阁	皮市街老城区住宅	1998	4室2厅2卫	143	共1层	25734	毛坯	368	广陵	文昌阁	"皮市街,近文昌中路"	2018年9月6日	https://yangzhou.anjuke.com/prop/view/A1401278788?from=filter&spread=commsearch_p&position=910&kwtype=filter&now_time=1538808722
拒绝虚假名门壹品景观房次顶楼飞机户型|无税车库	名门壹品	2013	3室2厅2卫	138	高层(共9层)	24637	毛坯	340	邗江	京华城	京华城路363号	2018年9月8日	https://yangzhou.anjuke.com/prop/view/A1404431606?from=filter&spread=commsearch_p&position=737&kwtype=filter&now_time=1538808686
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=827&kwtype=filter&now_time=1538808697
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=2279&kwtype=filter&now_time=1538808996
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=2286&kwtype=filter&now_time=1538809009
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=1152&kwtype=filter&now_time=1538808773
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=858&kwtype=filter&now_time=1538808710
梅岭本部梅岭佳园梅小梅中 中间位置 房龄新靠近沁园 莱茵苑	梅岭佳园	2007	3室1厅1卫	90	共1层	24311	精装修	218.8	维扬	漕河	梅岭东路9号	2018年9月9日	https://yangzhou.anjuke.com/prop/view/A1405410865?from=filter&spread=commsearch_p&position=2780&kwtype=filter&now_time=1538809110
瘦西湖万科花园 品质小区 豪华装修五房 楼层好提包入住	万科城	2012	5室4厅2卫	144	共5层	24305	豪华装修	350	维扬	瘦西湖	平综路	2018年9月11日	https://yangzhou.anjuke.com/prop/view/A1408539378?from=filter&spread=commsearch_p&position=928&kwtype=filter&now_time=1538808722
锦旺苑小区 简装 2室2厅1卫 62平米	锦旺苑小区	2000	2室2厅1卫	62	共3层	24193	简单装修	150	维扬	五台山大桥	友谊路37号	2018年8月3日	https://yangzhou.anjuke.com/prop/view/A1350988935?from=filter&spread=commsearch_p&position=1877&kwtype=filter&now_time=1538808921
梅岭本部校区房 精装修带院子 无大税 距离梅岭本部很近	梅岭公馆	1998	2室2厅1卫	60	共4层	24166	精装修	145	邗江	汽车西站	马太巷	2018年9月18日	https://yangzhou.anjuke.com/prop/view/A1420025939?from=filter&spread=commsearch_p&position=923&kwtype=filter&now_time=1538808722
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=811&kwtype=filter&now_time=1538808697
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=1241&kwtype=filter&now_time=1538808786
京华城怡景苑下叠简装有大车库有院子紧邻御景苑奥都花城	京华怡景苑(别墅)	2010	3室2厅2卫	134	共2层	23880	简单装修	320	邗江	汽车西站	京华城路99号	2018年9月8日	https://yangzhou.anjuke.com/prop/view/A1404712473?from=filter&spread=commsearch_p&position=2653&kwtype=filter&now_time=1538809085
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=2243&kwtype=filter&now_time=1538808996
蓝湾国际豪装 含产权有车库车位基本未住 靠森林湖京华城橡树湾	恒通蓝湾国际	2016	3室2厅2卫	121	共5层	23801	豪华装修	288	邗江	京华城	兴城西路	2018年9月23日	https://yangzhou.anjuke.com/prop/view/A1427838338?from=filter&spread=commsearch_p&position=918&kwtype=filter&now_time=1538808722
京华城下叠出售，紧邻奥都，有院子，户型方正，采光好，交通方便	京华怡景苑(别墅)	2006	3室2厅2卫	135	共2层	23703	毛坯	320	邗江	汽车西站	京华城路99号	2018年9月8日	https://yangzhou.anjuke.com/prop/view/A1404704582?from=filter&spread=commsearch_p&position=2569&kwtype=filter&now_time=1538809059
新上房源名雅花苑，梅岭东苑一楼半，精致2房，难得小面积总价低	名雅花苑	2005	2室1厅1卫	67	共5层	23522	精装修	157.6	维扬	漕河	梅岭东路22号	2018年8月22日	https://yangzhou.anjuke.com/prop/view/A1378951749?from=filter&spread=commsearch_p&position=2013&kwtype=filter&now_time=1538808946
万科花园 四室两厅两卫户型好  环境优美	万科花园	2013	4室2厅2卫	144	共5层	23472	简单装修	338	邗江	京华城	江平东路	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416170272?from=filter&spread=commsearch_p&position=939&kwtype=filter&now_time=1538808722
梅岭双校区 马太巷 窦庄新村 精装温馨三室 一楼有院子40平	玉器街84号小区	1999	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	玉器街84号	2018年9月12日	https://yangzhou.anjuke.com/prop/view/A1409817839?from=filter&spread=commsearch_p&position=538&kwtype=filter&now_time=1538808636
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=1016&kwtype=filter&now_time=1538808735
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=1052&kwtype=filter&now_time=1538808748
